,Title,platform,release_date,summary,meta_score,user_review
125,TrackMania (2003),PC,2004-07-08,"A cutting edge blend of arcade, SIM and puzzle games, TrackMania is set to be the first in a new and unique genre of racing game that will truly bring the game back in to gameplay. Using the simple and intuitive editor, players can let their imaginations run wild and build their own crazy tracks, modifying them block-by-block, to create complex and spectacular tracks. Then, when the tracks are completed, players can test their creations in real-time, and experience all the fun and excitement of high-speed racing. [Nadeo]",74,8.1
126,Five Nights at Freddy's VR: Help Wanted,PlayStation 4,2019-05-28,Five Nights at Freddy’s VR: Help Wanted is a collection of classic and original mini-games set in the Five Nights universe. Survive terrifying encounters with your favorite killer animatronics in a collection of new and classic Five Nights at Freddy’s experiences. “Where fantasy and fun come to life!”,80,7.7
127,Minecraft,PC,2011-11-18,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",93,8.0
128,Minecraft,Switch,2018-06-21,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",86,7.5
129,Alien Syndrome,Xbox 360,2007-07-24,"In Alien Syndrome, players take control of the game's strong and enigmatic heroine – Earth Command Trooper Aileen Harding – and battle a variety of fearsome aliens and colossal bosses. Gamers choose from a wide selection of character specialties and skills as they progress through an engrossing campaign, protected by many different types of armor and using a variety of melee and ranged weaponry. Players can improve their heroine's statistics and discover a huge number of powerful new abilities as they fight through infested spaceships and bizarre alien planets. Alien Syndrome features two fast-paced action-RPG modes – the dramatic and engaging single-player campaign, plus an infinitely replayable co-op multiplayer mode for up to four players. Derived from the classic SEGA arcade game, Alien Syndrome's new action-RPG gameplay makes it easy to pick up and play, while its depth and wealth of features and missions keeps it challenging for all gamers. Alien Syndrome features 20 different weapons including flamethrowers, quad-barreled lasers, nanobot swarms that dissolve enemies, and incendiary grenades that shoot fire geysers from the ground. Each weapon offers advantages and disadvantages, dependent upon how it is used and the specializations players have chosen to adopt. Alien Syndrome's fast-paced combat also allows for any number of combat strategies to defeat over 100 different alien enemies at one time. [Sega]",51,6.4
130,Alien Syndrome,PlayStation 2,2007-07-24,"In Alien Syndrome, players take control of the game's strong and enigmatic heroine – Earth Command Trooper Aileen Harding – and battle a variety of fearsome aliens and colossal bosses. Gamers choose from a wide selection of character specialties and skills as they progress through an engrossing campaign, protected by many different types of armor and using a variety of melee and ranged weaponry. Players can improve their heroine's statistics and discover a huge number of powerful new abilities as they fight through infested spaceships and bizarre alien planets. Alien Syndrome features two fast-paced action-RPG modes – the dramatic and engaging single-player campaign, plus an infinitely replayable co-op multiplayer mode for up to four players. Derived from the classic SEGA arcade game, Alien Syndrome's new action-RPG gameplay makes it easy to pick up and play, while its depth and wealth of features and missions keeps it challenging for all gamers. Alien Syndrome features 20 different weapons including flamethrowers, quad-barreled lasers, nanobot swarms that dissolve enemies, and incendiary grenades that shoot fire geysers from the ground. Each weapon offers advantages and disadvantages, dependent upon how it is used and the specializations players have chosen to adopt. Alien Syndrome's fast-paced combat also allows for any number of combat strategies to defeat over 100 different alien enemies at one time. [Sega]",48,7.2
131,US Open 2002,PC,2002-08-14,"Have you ever dreamed of stepping into a famous player?s shoes, playing on the centre court or having your winning shot applauded by a jubilant crowd? For those of you who want to try your luck on the courts this summer, US OPEN 2002 will give you access to the most prestigious tennis courts in the world. [Strategy First Inc.]",65,tbd
132,Detective Gallo,Switch,2018-08-17,"Detective Gallo is a point-and-click comic-noir adventure that is entirely hand-illustrated and hand-animated, and whose protagonist is a feathered and grumpy private eye.",61,5.9
133,Heavy Rain: Move Edition,PlayStation 3,2010-09-22,"Experience a gripping psychological crime thriller filled with innumerable twists and turns, where even the smallest actions and choices can cause dramatic consequences. The hunt is on for the Origami Killer, named after his calling card of leaving folded paper shapes on victims. Four characters, each with their own motives, take part in a desperate attempt to stop the killer from claiming a new victim.",72,8.1
134,Rubik's World,DS,2008-10-28,"Welcome to Rubik's Puzzle World - an abstract environment populated by ""Cubies"" which make up the game's DNA. Rubik's Puzzle World takes the shape, functionality and concept behind the famous Rubik's Cube but twists and turns the rules to transform it into a unique Puzzle filled game experience for players of all ages. Get ready for a collection of games infused with the mental challenges which made the original Rubik's Cube such a hit. The construction of the games will challenge your brain, enable you to solve increasingly difficult puzzles, and develop your logical capabilities - while having lots of fun! So take a trip inside the Rubik's Cube and enter an abstract world of Rubik's themed puzzles - each as addictive as the original cube we know and love. [The Game Factory]",66,tbd
135,Rubik's World,Wii,2008-11-04,"Welcome to Rubik's Puzzle World - an abstract environment populated by ""Cubies"" which make up the game's DNA. Rubik's Puzzle World takes the shape, functionality and concept behind the famous Rubik's Cube but twists and turns the rules to transform it into a unique Puzzle filled game experience for players of all ages. Get ready for a collection of games infused with the mental challenges which made the original Rubik's Cube such a hit. The construction of the games will challenge your brain, enable you to solve increasingly difficult puzzles, and develop your logical capabilities - while having lots of fun! So take a trip inside the Rubik's Cube and enter an abstract world of Rubik's themed puzzles - each as addictive as the original cube we know and love. [The Game Factory]",64,tbd
136,Zeus: Master of Olympus,PC,2000-10-22,"Recreate your favorite legends from Greek mythology as you build and rule beautiful city-states. Help Hercules defeat the Hydra, Odysseus win the Trojan War, or Jason retrieve the Golden Fleece. You'll make friends in high places, get involved in the affairs of immortals, and even meet Zeus himself. [Sierra Studios]",87,8.7
137,The Magnificent Trufflepigs,PC,2021-06-02,"The Magnificent Trufflepigs is a first-person, romantic, metal-detecting game. You play as Adam, a sharp-witted but compassionate man returning to his childhood village of Stanning. There he'll help a woman named Beth on her mission to unearth a local treasure. As cracks begin to appear in Beth's fairy tale plan for everything, you'll delve into her history and discover all may not be as it seems. And you'll have to choose how Adam responds to Beth as she faces her demons. Gameplay combines laid-back metal detecting and exploration with a strong interpersonal narrative, all set in a beautiful English countryside. The Magnificent Trufflepigs is a game about trying to find something, and the tone it sets is like a typical English summer: mostly pleasant, but with stormy moments that threaten to ruin everything.",66,4.8
138,Phoenix Wright: Ace Attorney,DS,2005-10-12,"(Known in Japan as ""Gyakuten Saiban"") Not everyone is innocent until proven guilty! Players star as a defense attorney, who must prove his seemingly guilty client’s innocence no matter how dire the circumstances may seem. The game presents twisting storylines and intriguing gameplay in a comical anime style. Players must collect evidence, weed through inconsistent testimonies, and overcome corrupt agendas to ensure that justice prevails. [Capcom]",81,9.0
139,Phoenix Wright: Ace Attorney,Wii,2010-01-11,"[WiiWare] Meet Phoenix Wright, the rookie defense lawyer new to the scene with the wildest cross-examination skills in town. Take on four intriguing cases to reveal dramatic, stunning and even comical court proceedings. Use the Wii Remote controller to investigate the crime scenes, question witnesses and present shocking evidence. [Nintendo]",67,8.7
140,Super Robot Taisen: Original Generation,Game Boy Advance,2006-08-08,"Super Robot Taisen: Original Generation is a strategy RPG featuring detailed combat system, dozens of customizable mecha and 40+ hours of strategy RPG.",72,6.6
141,Sega GT,Dreamcast,2000-08-29,"Sega GT attempts to capture some of Gran Turismo's formula for the Dreamcast, but it ultimately falls short due to poor control and an unintuitive interface.",84,7.9
142,The New York Times Crosswords,DS,2007-05-29,"Write in your own answers on the Touch Screen or use the Touch Screen keyboard to enter your answers. Complete more than 1,000 puzzles across Puzzle Me Quick!, Puzzle Week, or Crosswords. Challenge mode which includes time and difficulty settings you can adjust to your liking. Compete against up to three friends in a wireless multiplayer VS match or work together to fill in clues in 4-player cooperative play. Experience multiple visual themes as you complete puzzles. Take advantage of special functions including Hint (fills in a letter of a word you can’t figure out) and Undo (remove a letter you’ve placed incorrectly). [Majesco]",79,6.7
143,Kingdoms of Amalur: Reckoning - The Legend of Dead Kel,Xbox 360,2012-03-20,"The legendary pirate Dead Kel and his Hanged Men have returned to haunt the seas of northern Amalur. Embark on a journey to the distant island of Gallows End with the eccentric Captain Brattigan in an adventure that will uncover a secret so great that it has incited wars and toppled kingdoms. Discover powerful new weapons and Twist of Fate Cards and use them to conquer the island's unique inhabitants. Become the Lord of Gravehal Keep and lay claim to the this once great fort standing upon the edge of a cliff in the most expansive player housing option yet. In an extensive new story and a host of new side quests, battle treacherous new enemies and face exciting new challenges on the mysterious island of Gallows End.",81,7.8
144,Monopoly Streets,Xbox 360,2010-10-26,"To celebrate its 75th anniversary, the world of Monopoly comes to life through a living, breathing city that you can build, own, and monopolize. MONOPOLY STREETS has everything you love about the board game, presented as a street level tour of Mr. Monopoly's fully animated world.",66,6.6
145,Monopoly Streets,Wii,2010-10-26,"To celebrate its 75th anniversary, the world of Monopoly comes to life through a living, breathing city that you can build, own, and monopolize. MONOPOLY STREETS has everything you love about the board game, presented as a street level tour of Mr. Monopoly's fully animated world.",65,5.2
146,Monopoly Streets,PlayStation 3,2010-10-26,"To celebrate its 75th anniversary, the world of Monopoly comes to life through a living, breathing city that you can build, own, and monopolize. MONOPOLY STREETS has everything you love about the board game, presented as a street level tour of Mr. Monopoly's fully animated world.",64,5.4
147,Mobile Suit Gundam: Zeonic Front,PlayStation 2,2002-01-15,"Become your own worst enemy! For years you fought against the Zeon, now fight as one. For the first time, assume the role of a Zeon and take control of an elite mobile suit team. Set in the One Year War,? battle against the Earth Federation for independence and control of Earth territories. Control up to three attack teams per mission and devise superior strategies against Earth Federation troops. [Bandai]",71,8.8
148,Transformers: Autobots,DS,2007-06-19,"Based on the 2007 live-action feature film, Transformers: Deceptions lets gamers control the outcome in the battle for Earth as they choose to protect it as Autobots or destroy it as Decepticons. Players experience the unstoppable power and massive scale of their favorite Robots in Disguise such as BumbleBee, Barricade and others. As the Transformers robot's war comes to Earth, gamers make the choice to join the Autobots in protecting our planet or to join the Decepticons in destroying it. With dual campaigns, the fate of the world is in players' hands. Instantly change from a larger than life robot to a high-powered vehicle such as a sports car, fighter jet or helicopter. Players crush, topple and wreck every object, including buildings and vehicles, in their path or use the objects as weapons. [Activision]",67,7.7
149,Supreme Ruler 2020,PC,2008-07-01,"Control any department within your government or delegate decisions to your Cabinet Ministers. Sophisticated Military Strategic and Tactical Command System. Select from hundreds of actual military vehicles to research, build, and deploy. Choose conventional warfare or develop your nuclear weapons program. Detailed Economic and Political Models. Flexible Diplomatic Interface allowing sophisticated negotiations. Play any one of over 250 Regions world-wide. High Resolution Satellite imagery provided courtesy of NASA. Single Player or Multi Player support. Includes Map Editor and extensive modability. Varied Game-play options include Regional Battles, Missions and Campaigns. Introducing BattleGoat's new Super Sandbox Mode for unlimited customization and replayability. [Paradox Interactive]",65,7.2
150,WTA Tour Tennis,Game Boy Advance,2002-05-31,"Take to the court and experience the realism and authenticity of WTA Tour Tennis. First, choose one of 20 professional tennis players such as Serena Williams, Martina Hingis, and Jelina Dokic--each with lifelike facial expressions and movements. Then, engage in fast-paced competition on grass, clay, and hard surfaces. With simple controls, multiple levels of difficulty, and AI based on actual player attributes, WTA Tour Tennis challenges both newcomers and seasoned pros alike.",66,tbd
151,WTA Tour Tennis,Game Boy Advance,2002-03-26,"The first game based on the Women's Tennis Association license features 20 WTA players, including established stars such as Martina Hingis, Monica Seles, Serena Williams, and Lindsay Davenport, and a few up-and-coming players, each with unique AI and modelling.",50,tbd
152,Syphon Filter: Dark Mirror,PSP,2006-03-14,"Assume the role of Gabe Logan, a highly-trained Precision Strike Operative, commanding a black box United States Agency that legally doesn't exist. Gabe finds himself dealing with a beautiful woman from his past who harbors a shocking secret while he battles the Red Section, a para-military group in possession of Project Dark Mirror, a next-generation weapon of mass destruction. Using Precision Strike Tactics, advanced vision technology, and the latest in high-tech weaponry, Logan and his team perform surgical strike missions - too sensitive for a military response, too dangerous for civilian intelligence forces. Through the role of Gabe, players will have to be quick to strategize, as he is responsible to infiltrate, recon and execute decisively. Once inserted, Logan is his own authority - he must make life and death decisions, quickly choosing which course of action to take.",87,8.7
153,Syphon Filter: Dark Mirror,PlayStation 2,2007-09-18,"Assume the role of Gabe Logan, a highly-trained Precision Strike Operative, commanding a black box United States Agency that legally doesn't exist. Gabe finds himself dealing with a beautiful woman from his past who harbors a shocking secret while he battles the Red Section, a para-military group in possession of Project Dark Mirror, a next-generation weapon of mass destruction. Using Precision Strike Tactics, advanced vision technology, and the latest in high-tech weaponry, Logan and his team perform surgical strike missions - too sensitive for a military response, too dangerous for civilian intelligence forces. Through the role of Gabe, players will have to be quick to strategize, as he is responsible to infiltrate, recon and execute decisively. Once inserted, Logan is his own authority - he must make life and death decisions, quickly choosing which course of action to take. [Sony]",70,7.9
154,Castlevania Requiem: Symphony of the Night & Rondo of Blood,PlayStation 4,2018-10-26,"2 Castlevania masterpieces available for the first time on PlayStation4. Now relive 2 of the greatest titles within the Castlevania series: ""Rondo of Blood"" (PC Engine) and ""Symphony of the Night"" (PlayStation). Rondo of Blood -> The 10th in its series crafted with stunning graphics and beautiful music. Released on PC-Engine in 1993, this was the first in the series released as a CD-ROM game. It took full advantage of the new media format, and was praised by reviewers for its crisp visuals and amazing music. Venture through 9 stages featuring hidden levels and alternative routes to save imprisoned villagers as you set out to destroy count Dracula once and for all. Playable characters include Richter Belmont the Vampire Hunter and Maria Renard the master of the 4 celestial beasts. Symphony of the Night -> First exploration-type side scroll action game in the series. The game is set in the sprawling Castlevania through which Alucard, son of Dracula must venture in his quest to confront, and ultimately destroy his father. Featuring ground breaking non-linear gameplay, Symphony of the Night helped define a new genre of gameplay by blending RPG elements, exploration and platforming. The vast number of weapons and items found throughout the game allows a diverse range of play styles to be employed. This game perfected the essence of the Castlevania series with gorgeous artwork and classic soundtrack that carry the player through the game.",74,7.3
155,Bloody Roar 4,PlayStation 2,2003-11-11,"Bloody Roar returns and is darker, bloodier and fiercer than ever! 14 returning fighters are joined by three brand-new characters in the newest battle of the beast-fighters. Transform into ferocious inner-beasts and attack with fangs and claws in 3D fighting areas to see who is the ultimate beast-fighter champion! Balance power and health with the new ""Zoanthropes Guage"". Dramatic story mode for each fighter. 9 modes of gameplay including Arcade and Character Development. Full 3D combat system with aerial juggles, counters, blocks, chains. [Konami]",59,8.5
156,Metal Fatigue,PC,2000-07-31,"Choose from three warring factions; the Milagro, Neuropa, and Rimtech are competing CorpoNations, each with its own technologies and research capabilities. Build bases, research new weaponry and unit types, and engage the enemy on three different levels simultaneously! [TalonSoft]",68,8.7
157,Battle Isle: The Andosia War,PC,2000-11-29,"On the border between exciting real-time maneuvers and the demands of strategic planning, a new exciting kind of game experience emerges where there is a time for cool planning, quick reactions, discovery of stunning landscapes, and time for pursuing mission goals! [Blue Byte]",70,7.7
158,Tropico 3: Absolute Power,PC,2010-05-17,Tropico 3: Absolute Power is the first official expansion pack to follow Tropico 3.,79,7.9
159,Desperados: Wanted Dead or Alive,PC,2001-07-23,Lead Cooper and his gang through 25 levels of this character-based real-time strategy game in which you're hired to find the banditos responsible for a train robbery in the old American frontier.,78,8.9
160,Oceanhorn: Monster of Uncharted Seas,PC,2015-03-17,"Oceanhorn: Monster of Uncharted Seas melds provocative storytelling, 3D visuals and gameplay into one epic action-adventure experience. In the game you explore the islands of Uncharted Seas, a world chock full of dangers, puzzles and secrets.",74,7.5
161,Oceanhorn: Monster of Uncharted Seas,Xbox One,2016-09-07,"You wake up and find a letter from your father. He is gone The only lead is his old notebook and a mysterious necklace. What happened? Oceanhorn: Monster of Uncharted Seas is an epic action-adventure experience. In the game you explore the islands of Uncharted Seas, a world filled with many dangers, puzzles and secrets. You must fight monsters, learn to use magic and discover ancient treasures, which will help you on your quest. Use all of your wits and skill to unravel the mysteries of the ancient kingdom of Arcadia and the sea monster, Oceanhorn.",71,8.1
162,Oceanhorn: Monster of Uncharted Seas,Switch,2017-06-22,"You wake up and find a letter from your father. He is gone The only lead is his old notebook and a mysterious necklace. What happened? Oceanhorn: Monster of Uncharted Seas combines captivating storytelling, breathtaking 3D visuals and exciting gameplay into one epic action-adventure experience. In the game you explore the islands of Uncharted Seas, a world filled with many dangers, puzzles and secrets. You must fight monsters, learn to use magic and discover ancient treasures, which will help you on your quest. Use all of your wits and skill to unravel the mysteries of the ancient kingdom of Arcadia and the sea monster, Oceanhorn. FEATURE OVERVIEW: - 15+ hours of story driven gameplay - Master magic and swordfight - Find ancient items to help you on your quest - Steam Achievements and Leaderboards - Steam Cloud - Steam Trading Cards - Full controller support - Enchanting original soundtrack",66,7.8
163,Oceanhorn: Monster of Uncharted Seas,PlayStation 4,2016-09-07,"You wake up and find a letter from your father. He is gone The only lead is his old notebook and a mysterious necklace. What happened? Oceanhorn: Monster of Uncharted Seas is an epic action-adventure experience. In the game you explore the islands of Uncharted Seas, a world filled with many dangers, puzzles and secrets. You must fight monsters, learn to use magic and discover ancient treasures, which will help you on your quest. Use all of your wits and skill to unravel the mysteries of the ancient kingdom of Arcadia and the sea monster, Oceanhorn.",66,7.6
164,Crysis Remastered,PC,2020-09-18,"The classic first person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around. What begins as a simple rescue mission becomes the battleground of a new war as alien invaders swarm over a North Korean island chain. Armed with a powerful Nanosuit, players can become invisible to stalk enemy patrols, or boost strength to lay waste to vehicles. The Nanosuit's speed, strength, armor, and cloaking allow creative solutions for every kind of fight, while a huge arsenal of modular weaponry provides unprecedented control over play style. In the ever-changing environment, adapt tactics and gear to dominate your enemies, in an enormous sandbox world. Suit up: Your Nanosuit's speed, strength, armor, and cloaking allow creative solutions for every kind of fight. Adapt: In an ever-changing environment, adapt your tactics to dominate on battlefields ranging from frozen jungle to alien environments. Customize: A huge arsenal of modular weaponry provides unprecedented control over play style, with options ranging from the experimental to the alien. Conquer: Life-like enemy AI require a strategic and flexible playstyle, as new challenges including a zero-g battlefield require players to take the offensive and be proactive. Explore: Choose your own path through the open world of Crysis, destroying obstacles, driving vehicles, and using the environment itself against your enemies.",69,3.5
165,Crysis Remastered,Switch,2020-07-23,"The classic first person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around. Suit up: Your Nanosuit’s speed, strength, armor, and cloaking allow creative solutions for every kind of fight. Adapt: In an ever-changing environment, adapt your tactics to dominate on battlefields ranging from frozen jungle to alien environments. Customize: A huge arsenal of modular weaponry provides unprecedented control over play style, with options ranging from the experimental to the alien. Conquer: Life-like enemy AI require a strategic and flexible playstyle, as new challenges – including a zero-g battlefield– require players to take the offensive and be proactive. Explore: Choose your own path through the open world of Crysis, destroying obstacles, driving vehicles, and using the environment itself against your enemies. What begins as a simple rescue mission becomes the battleground of a new war as alien invaders swarm over a North Korean island chain. Armed with a powerful Nanosuit, players can become invisible to stalk enemy patrols, or boost strength to lay waste to vehicles. The Nanosuit’s speed, strength, armor, and cloaking allow creative solutions for every kind of fight, while a huge arsenal of modular weaponry provides unprecedented control over play style. In the ever-changing environment, adapt tactics and gear to dominate your enemies, in an enormous sandbox world.",66,8.2
166,Crysis Remastered,Xbox One,2020-09-18,"The classic first person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around. What begins as a simple rescue mission becomes the battleground of a new war as alien invaders swarm over a North Korean island chain. Armed with a powerful Nanosuit, players can become invisible to stalk enemy patrols, or boost strength to lay waste to vehicles. The Nanosuit's speed, strength, armor, and cloaking allow creative solutions for every kind of fight, while a huge arsenal of modular weaponry provides unprecedented control over play style. In the ever-changing environment, adapt tactics and gear to dominate your enemies, in an enormous sandbox world. Suit up: Your Nanosuit's speed, strength, armor, and cloaking allow creative solutions for every kind of fight. Adapt: In an ever-changing environment, adapt your tactics to dominate on battlefields ranging from frozen jungle to alien environments. Customize: A huge arsenal of modular weaponry provides unprecedented control over play style, with options ranging from the experimental to the alien. Conquer: Life-like enemy AI require a strategic and flexible playstyle, as new challenges including a zero-g battlefield require players to take the offensive and be proactive. Explore: Choose your own path through the open world of Crysis, destroying obstacles, driving vehicles, and using the environment itself against your enemies.",59,5.0
167,Crysis Remastered,PlayStation 4,2020-09-18,"The classic first person shooter from Crytek is back with the action-packed gameplay, sandbox world, and thrilling epic battles you loved the first time around. What begins as a simple rescue mission becomes the battleground of a new war as alien invaders swarm over a North Korean island chain. Armed with a powerful Nanosuit, players can become invisible to stalk enemy patrols, or boost strength to lay waste to vehicles. The Nanosuit's speed, strength, armor, and cloaking allow creative solutions for every kind of fight, while a huge arsenal of modular weaponry provides unprecedented control over play style. In the ever-changing environment, adapt tactics and gear to dominate your enemies, in an enormous sandbox world. Suit up: Your Nanosuit's speed, strength, armor, and cloaking allow creative solutions for every kind of fight. Adapt: In an ever-changing environment, adapt your tactics to dominate on battlefields ranging from frozen jungle to alien environments. Customize: A huge arsenal of modular weaponry provides unprecedented control over play style, with options ranging from the experimental to the alien. Conquer: Life-like enemy AI require a strategic and flexible playstyle, as new challenges including a zero-g battlefield require players to take the offensive and be proactive. Explore: Choose your own path through the open world of Crysis, destroying obstacles, driving vehicles, and using the environment itself against your enemies.",59,3.5
168,Yu-Gi-Oh! The Falsebound Kingdom,Xbox One,2003-11-04,"Yugi and his friends are trapped in a virtual reality world gone crazy. As Yugi or Kaiba, you must form a team of three monsters to occupy towns across two different scenarios and take part in strategic team battles. Delegate commands to your team to conquer each mission. During battle, your team can perform devastating group attacks and combos. Over 175 monsters from the Yu-Gi-Oh! animated TV series appear in the game--and all of them will fight to the finish for control of each map.",44,7.3
169,CSI: Crime Scene Investigation: Fatal Conspiracy,PC,2010-10-26,"CSI: Fatal Conspiracy features five new connected cases written by the same writers from the television series CSI: Crime Scene Investigation. Players will experience an authentic crime-solving video game with real CSI characters, heart-pounding interrogations and enhanced graphics. A unique story structure that unveils the truth piece by piece brings a new level of suspense and intrigue to the top-selling franchise.",42,4.8
170,Mystery Case Files: MillionHeir,DS,2008-09-08,"Mystery Case Files: MillionHeir uses the unique Nintendo DS interface to expand upon the seek-and-solve game play of the popular series from Big Fish Games. Players seek out cleverly hidden items in a multitude of painted scenes. Players progress through an interactive detective story investigating a cast of characters and uncovering new evidence to find the rightful heir to a million-dollar fortune. This new portable installment is available only for Nintendo DS. With interactive logic puzzles that use both the touch-screen interface and built-in microphone and include the first ever multiplayer mode for a Mystery Case Files game, Mystery Case Files: MillionHeir presents a new generation of seek-and-solve games for casual gamers and franchise fans. [Nintendo]",65,tbd
171,Pokemon Super Mystery Dungeon,3DS,2015-11-20,"The player is transformed into one of 20 Pokémon as she sets out on an adventure in a world inhabited solely by the 720 discovered Pokémon. Each dungeon is randomly generated, so the gamer never explores the same dungeon twice as she unravel this tale of adventure and mystery.",69,8.3
172,Valhalla Knights 3,Xbox One,2013-10-15,Valhalla Knights 3 is an action RPG with intense real-time battle and seven-on-seven party based combat. Players can create a main character and field-worthy party members from one of seven races as well as assign them a job class from the twenty choices available.,48,6.9
173,The War of the Worlds,PC,2011-10-26,The War of the Worlds is a 2D cinematic platformer inspired by the work of author H.G. Wells,55,5.1
174,DreamWorks Shrek the Third,PSP,2007-05-15,"Save Far Far Away in this twisted fairy tale adventure. When the King falls ill, it's up to Shrek to find the true heir and save Far Far Away. Journey with Shrek, Donkey, and Puss-in-Boots on this all new twisted fairy tale adventure. Along the way, meet new friends, conquer bold enemies, and visit never before seen lands from the movie and beyond. [Activision]",57,3.9
175,DreamWorks Shrek the Third,PSP,2007-05-15,"Save Far Far Away in this twisted fairy tale adventure. When the King falls ill, it's up to Shrek to find the true heir and save Far Far Away. Journey with Shrek, Donkey, and Puss-in-Boots on this all new twisted fairy tale adventure. Along the way, meet new friends, conquer bold enemies, and visit never before seen lands from the movie and beyond. [Activision]",56,4.6
176,Dragon Ball Z Budokai HD Collection,PlayStation 3,2012-11-06,"The Dragon Ball Z Budokai HD Collection includes two blockbuster fighting games based on the Dragon Ball Z anime series. Included are Dragon Ball Z Budokai and Dragon Ball Z Budokai 3. Dragon Ball Z Budokai --- Fight to the finish against the deadliest fighters in the universe and take on the most powerful heroes and the most evil villains in Dragon Ball Z. The more you win, the more difficult it gets. Can you survive? Dragon Ball Z Budokai 3 -- A ""Hall of Fame"" cast of warriors from Dragon Ball Z, Dragon Ball GT, and DBZ movies come together for a tournament of champions. With the power of the new Saiyan Overdrive Fighting System, players have unprecedented gameplay control and Dragon Ball Z authenticity.",64,7.7
177,Dragon Ball Z Budokai HD Collection,Xbox 360,2012-11-06,"The Dragon Ball Z Budokai HD Collection includes two blockbuster fighting games based on the Dragon Ball Z anime series. Included are Dragon Ball Z Budokai and Dragon Ball Z Budokai 3. Dragon Ball Z Budokai --- Fight to the finish against the deadliest fighters in the universe and take on the most powerful heroes and the most evil villains in Dragon Ball Z. The more you win, the more difficult it gets. Can you survive? Dragon Ball Z Budokai 3 -- A ""Hall of Fame"" cast of warriors from Dragon Ball Z, Dragon Ball GT, and DBZ movies come together for a tournament of champions. With the power of the new Saiyan Overdrive Fighting System, players have unprecedented gameplay control and Dragon Ball Z authenticity.",63,8.5
178,Depixtion,Switch,2020-02-28,"Based on the popular Picross series, Depixtion blends color mixing mechanics with the rules of nonograms to create a uniquely colorful experience.",78,7.8
179,Sea of Thieves,Xbox One,2018-03-20,"Be The Pirate You Want To Be - With musket loaded and grog in hand, the freedom of the pirate life awaits. What will your legend be? An epic multiplayer adventure. Crew up and set sail on memorable voyages. Make and break your pirates' code on the Sea of Thieves. A treacherous shared world. Plot your course and set sail for hidden riches. Navigate the perils of a fantastical world and the danger of rival crews.",69,5.2
180,Sea of Thieves,PC,2018-03-20,"Be The Pirate You Want To Be - With musket loaded and grog in hand, the freedom of the pirate life awaits. What will your legend be? An epic multiplayer adventure. Crew up and set sail on memorable voyages. Make and break your pirates' code on the Sea of Thieves. A treacherous shared world. Plot your course and set sail for hidden riches. Navigate the perils of a fantastical world and the danger of rival crews.",67,4.8
181,Summoner,PC,2001-03-21,"Volition's first RPG, a truly 3-D RPG played from a third-person perspective which was praised as a launch title on the PS2, features Joseph, a young summoner who learns to use and control his powers while attempting to overthrow the evil tyranny that has beset his world.",78,7.7
182,Summoner,PlayStation 2,2000-10-25,"Born with the mark of the Summoner, Joseph possesses a power greater than emperors and gods. As a child, he summoned a demon to save his village, and watched in horror as those he loved were destroyed. Nine years later, the armies of Orenia invade, and Joseph must confront the prophecy he was born to fulfill.",74,7.5
183,The Charnel House Trilogy,PC,2015-04-16,"Witness The Charnel House Trilogy, the chronicle of one fateful night aboard a train bound for Augur Peak. Three horrifying adventure games in one, from the depths of the Sepulchre, starring Madeleine Roux, Peter Willington, Jonathan Grier, Jim Sterling, and Ben Chandler as Grub.",68,5.8
184,Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011-08-23,"Expanded and enhanced, Devil Survivor Overclocked for Nintendo 3DS builds upon the game's original release with the addition of voice acting for the entirety of the game's lengthy, unconventional narrative. Moreover, that very story, already boasting multiple endings based on critical decisions by the player, now concludes with a special eighth chapter, a rousing epilogue for Shin Megami Tensei fans. The game's beautifully remastered hand drawn artwork and character portraits benefit from the new system's higher resolution screens, offering players a crisper, higher fidelity experience.",78,4.8
185,Xenosaga Episode I: Der Wille zur Macht,PlayStation 2,2003-02-26,"Thousands of years into the future, man exists only in deep space. Brutally opposed by a merciless alien race, humanity faces an uncertain destiny as it unlocks the secrets of the Universe in search of the ultimate truth. Features four exhilarating mini-games, innovative battle and control systems, and over 80 hours of gameplay. [Namco]",83,8.4
186,Pixel Heroes: Byte & Magic,Xbox One,2017-02-03,Enter the world of PIXEL HEROES and prepare yourself for a RPG/Roguelike experience.,58,tbd
187,Fearful Symmetry & The Cursed Prince,Xbox One,2017-12-12,Fearful Symmetry is a puzzle game with a unique brain-teasing twist. Control multiple characters at the same time; both in different dimensions. It is up to you to move the characters simultaneously in opposite directions to guide them through treacherous puzzles filled with traps.,71,tbd
