,Title,platform,release_date,summary,meta_score,user_review,Wikipedia,Genre,Modes
464,Darkstalkers Chronicle: The Chaos Tower,PSP,2005-03-24,"(Also known as ""Vampire Chronicle"") Darkstalkers Chronicle: The Chaos Tower possesses a compelling cast of monster warriors, each possessing their own unique fighting skills and abilities including Demitri Maximoff, the Vampire; Jonathan Talbain, the English Werewolf; Victor von Gerdenheim, the Frankenstein Monster; Lord Raptor, an Australian undead hard rocker; Anakaris, the Mummy; Rikuo, a Brazilian Merman; Sasquatch, the Canadian Snowman; and Felicia, the Cat Woman. Arcade Mode is a seamless conversion where players must defeat numerous CPU-controlled characters. Training Mode gives gamers the option to choose their favorite character and hone their skills. Network Mode allows friends to engage in two different wireless head-to-head networked battles: verses or limit battle. Verses offers true two-player competitive matches. Limit Battle randomly assigns a handicap to both challengers, forcing them to strategize their moves in order to claim victory. In the new Tower Mode, select three characters from the extensive roster and ascend to the pinnacle of a mysterious tower where many opponents await upon each floor. The course taken and fighting conditions will change dynamically based on performance during the multitude of one-on-one battles. Pitting the right competitor against an opponent will be the key to success. [Capcom]",74,7.9,"Darkstalkers Chronicle: The Chaos Tower, known in Japan as Vampire Chronicle: The Chaos Tower (ヴァンパイア クロニクル ザ カオスタワー, Vanpaia Kuronikuru Za Kaosu Tawā) in Japan, is a Capcom fighting game for the PlayStation Portable. It was released on December 12, 2004, alongside the PSP at launch in Japan, in North America on March 24, 2005 for the North American PSP launch and in Europe on September 1.
It is a port of the Japan-only Dreamcast game Vampire Chronicle for Matching Service, which in turn is a version of Vampire Savior that allows players to choose their fighting style from all five Darkstalkers/Vampire arcade games (Vampire: The Night Warriors, Vampire Hunter: Darkstalker's Revenge, Vampire Savior: The Lord of Vampires, and the Japan-only Vampire Hunter 2 and Vampire Savior 2).

",Fighting,"['Single-player', 'multiplayer']"
465,Moving Out,PC,2020-04-28,"Moving Out is a ridiculous physics-based moving simulator that brings new meaning to ""couch co-op""! Are you ready for an exciting career in furniture? As a newly certified Furniture Arrangement & Relocation Technician, you'll take on moving jobs all across the busy town of Packmore. Smooth Moves may not be the biggest moving company, but there's no task too dangerous or strange for this busy team of go-getters. Grow your business to brave new heights, recruit colourful customizable characters, and save your town from furniture peril!",79,7.4,"Moving out may refer to:

Relocation (personal), the act of leaving one dwelling and settling in another
Leaving the nest, a young person moving out of the accommodation provided by their guardian, fosterers or parent",,[]
466,Moving Out,Xbox One,2020-04-28,"Moving Out is a ridiculous physics-based moving simulator that brings new meaning to ""couch co-op""! Are you ready for an exciting career in furniture? As a newly certified Furniture Arrangement & Relocation Technician, you'll take on moving jobs all across the busy town of Packmore. Smooth Moves may not be the biggest moving company, but there's no task too dangerous or strange for this busy team of go-getters. Grow your business to brave new heights, recruit colourful customizable characters, and save your town from furniture peril!",78,6.9,"Moving out may refer to:

Relocation (personal), the act of leaving one dwelling and settling in another
Leaving the nest, a young person moving out of the accommodation provided by their guardian, fosterers or parent",,[]
467,Moving Out,Switch,2020-04-28,"Moving Out is a ridiculous physics-based moving simulator that brings new meaning to ""couch co-op""! Are you ready for an exciting career in furniture? As a newly certified Furniture Arrangement & Relocation Technician, you'll take on moving jobs all across the busy town of Packmore. Smooth Moves may not be the biggest moving company, but there's no task too dangerous or strange for this busy team of go-getters. Grow your business to brave new heights, recruit colourful customizable characters, and save your town from furniture peril!",77,7.0,"Moving out may refer to:

Relocation (personal), the act of leaving one dwelling and settling in another
Leaving the nest, a young person moving out of the accommodation provided by their guardian, fosterers or parent",,[]
468,Moving Out,PlayStation 4,2020-04-28,"Moving Out is a ridiculous physics-based moving simulator that brings new meaning to ""couch co-op""! Are you ready for an exciting career in furniture? As a newly certified Furniture Arrangement & Relocation Technician, you'll take on moving jobs all across the busy town of Packmore. Smooth Moves may not be the biggest moving company, but there's no task too dangerous or strange for this busy team of go-getters. Grow your business to brave new heights, recruit colourful customizable characters, and save your town from furniture peril!",74,7.8,"Moving out may refer to:

Relocation (personal), the act of leaving one dwelling and settling in another
Leaving the nest, a young person moving out of the accommodation provided by their guardian, fosterers or parent",,[]
469,Worms Reloaded,PC,2010-08-26,"Indeed, while the most celebrated features of the series are present and correct, Worms Reloaded also sports a large amount of new additions to almost every facet of the gameplay experience. Over 60 single-player missions (including new Warzone Campaign and Bodycount Mode), a fully featured landscape creator, 45+ plus weapons spanning the entire Worms series and a huge currency based customization system - all wrapped up in HD quality visuals - means that Worms Reloaded will be a highly enjoyable experience, whether playing alone or with friends.",79,6.9,"Worms Reloaded is a 2D artillery turn-based tactics video game developed by Team17 that is part of the Worms series. The game was first released on Microsoft Windows via Steam, on August 26, 2010.Reloaded is a port of Worms 2: Armageddon, a sequel to the 2007 Worms console port.",Artillery,"['Single-player', 'multiplayer']"
470,TrackMania United,PC,2006-11-17,"TrackMania United is the latest title in the TrackMania series, and combines high-speed racing with pure, uncomplicated fun. The game contains all the features of the previous titles, and introduces an extensive new content editor. The new editor and in-game browser allow both veteran and rookie players the ability to create, showcase and share customized paintjobs, tracks, environments and videos. TrackMania United offers players the opportunity to enjoy a rich gaming experience both online and offline, while taking part in a friendly and fun online community. [Focus Home Interactive]",80,8.8,,,[]
471,Shattered - Tale of the Forgotten King,PC,2021-02-17,"Shattered - Tale of the Forgotten King is an rpg-adventure game with challenging boss fights and a deep lore inspired by Dark Souls, Shadow of the Colossus and Legacy of Kain.",68,tbd,,Action role-playing,['Single-player']
472,Two Worlds II,PC,2011-02-03,"Taking place shortly after the events portrayed in the first Two Worlds, The Temptation takes place in Eastern Antaloor, in the regions surrounding Oswaroh and the Drak’ar Desert. Featuring as much content as the original, Two Worlds: The Temptation features more intricate missions, improved voice-overs and animations, retooled horseback riding, completely revamped combat, and a new game engine that delivers improved visuals. [SouthPeak Interactive]",75,6.4,"Two Worlds II is an action role-playing game developed by Polish developer Reality Pump and published by TopWare Interactive as a sequel to 2007's Two Worlds. It was released on 9 November 2010 in Europe for Microsoft Windows, Mac OS X, Xbox 360 and PlayStation 3, and on 25 January 2011 in North America for the same platforms. Two Worlds II is a real-time role-playing game that takes place in an open fantasy world where players take the role of a single character with whom they can explore and undertake quests.

",Action role-playing,"['Single-player', 'multiplayer']"
473,Two Worlds II,PlayStation 3,2011-01-25,"Taking place shortly after the events portrayed in the first Two Worlds, The Temptation takes place in Eastern Antaloor, in the regions surrounding Oswaroh and the Drak'ar desert. Featuring as much content as the original, Two Worlds: The Temptation will feature more intricate missions, improved voice-overs and animations, retooled horseback riding, completely revamped combat, and a new game engine that delivers visuals that have to be seen to be believed.",70,6.9,"Two Worlds II is an action role-playing game developed by Polish developer Reality Pump and published by TopWare Interactive as a sequel to 2007's Two Worlds. It was released on 9 November 2010 in Europe for Microsoft Windows, Mac OS X, Xbox 360 and PlayStation 3, and on 25 January 2011 in North America for the same platforms. Two Worlds II is a real-time role-playing game that takes place in an open fantasy world where players take the role of a single character with whom they can explore and undertake quests.

",Action role-playing,"['Single-player', 'multiplayer']"
474,Two Worlds II,Xbox 360,2011-01-25,"Taking place shortly after the events portrayed in the first Two Worlds, The Temptation takes place in Eastern Antaloor, in the regions surrounding Oswaroh and the Drak’ar Desert. Featuring as much content as the original, Two Worlds: The Temptation features more intricate missions, improved voice-overs and animations, retooled horseback riding, completely revamped combat, and a new game engine that delivers improved visuals. [SouthPeak Interactive]",67,6.5,"Two Worlds II is an action role-playing game developed by Polish developer Reality Pump and published by TopWare Interactive as a sequel to 2007's Two Worlds. It was released on 9 November 2010 in Europe for Microsoft Windows, Mac OS X, Xbox 360 and PlayStation 3, and on 25 January 2011 in North America for the same platforms. Two Worlds II is a real-time role-playing game that takes place in an open fantasy world where players take the role of a single character with whom they can explore and undertake quests.

",Action role-playing,"['Single-player', 'multiplayer']"
475,Suzuki TT Superbikes,PlayStation 2,2005-08-04,"TT Superbikes is an Official License from the Isle of Man Government, with further Official support from the Auto Cycle Union, the motorcycle racing governing organization for the TT Races. The game features licensed motorcycle manufacturer support, such as Honda, Suzuki, Kawasaki, Yamaha, Aprilia and Triumph. Related motorcycle product manufacturers also provide additional licensed support with major brands, Castrol, Dunlap, Avon and Bridgestone Tyres, Alpinestars Leathers, Arai and Shoei Helmets, Dymag and Marchesini Wheels along with Ohlins suspension and Arrow Exhausts to name a few. Containing more than 40 miles of beautifully recreated true to life real road racing circuits with data from the Isle of Man Government and the game's own road surveying crew means every vital bump, wall, tree and house included in the game, just like real life. [Valcon Games]",71,8.3,,Racing,"['Single-player', 'multiplayer']"
476,Carto,Switch,2020-10-27,"Carto is a chill adventure game wrapped around a unique, world-shifting puzzle mechanic. Use this power to explore mysterious lands, help a quirky cast of new friends, and guide Carto on her journey home.",79,6.6,"Carto may refer to:

Carto (video game)
Cardiac electrophysiology
Carto (company)
R v Carto, lawsuit
Willis Carto (1926–2015), political advocate",,[]
477,Carto,PlayStation 4,2020-10-27,"Carto is a chill adventure game wrapped around a unique, world-shifting puzzle mechanic. Use this power to explore mysterious lands, help a quirky cast of new friends, and guide Carto on her journey home.",75,6.3,"Carto may refer to:

Carto (video game)
Cardiac electrophysiology
Carto (company)
R v Carto, lawsuit
Willis Carto (1926–2015), political advocate",,[]
478,Carto,PC,2020-10-27,"Carto is a chill adventure game wrapped around a unique, world-shifting puzzle mechanic. Use this power to explore mysterious lands, help a quirky cast of new friends, and guide Carto on her journey home.",72,7.8,"Carto may refer to:

Carto (video game)
Cardiac electrophysiology
Carto (company)
R v Carto, lawsuit
Willis Carto (1926–2015), political advocate",,[]
479,FIFA Soccer,PlayStation Vita,2012-02-15,"EA SPORTS FIFA Soccer on PS Vita gives you the same physics-based, data driven technology that powers FIFA gameplay on PlayStation 3. Take part in eight different game modes, including 11 vs. 11, Tournament Mode with over 50 real-world competitions, a full in-depth Career Mode, and head-to-head online. Innovations that utilize a rear touch pad and touchscreen create an intelligent and unique gameplay experience. Rear touch pad shooting delivers pin-point accuracy and removes the element of ""hit and hope"" from shooting and touchscreen passing opens up the field of play for more creative and precision passing.",79,7.2,,Sports,[]
480,FIFA Soccer,PSP,2005-04-25,"Get on the Pitch and Go: Including Head-to-Head play featuring Friendly and Home and Away modes, plus Challenges mode, Season, Mid-Season Scenario, and Custom Season modes, Tournaments, and Custom Tournaments. Mid-Season Scenario Mode: Throw yourself in the middle of the action as you play out the rest of the 04/05 season with current real-time team standings. Challenges Mode: Master key game scenarios in the newly designed Challenges mode. Wireless Head-to-Head Gameplay: Play one-on-one against a friend in any game mode. EA Pocket Trax: This new feature designed for PSP allows you to listen and watch music content via this built-in player. [Electronic Arts]",73,7.7,,Sports,[]
481,AquaNox,PC,2001-11-19,"Come aboard and explore the dangerous and merciless deep sea with all its adventures. Features over 30 single-player-missions; 9 completely different playerships; over 40 different enemies, including gigantic creatures; gripping story and detailed world with over 70 NPCs; and deathmatch and teambased multiplayer modes. [Fishtank Interactive]",67,7.7,"AquaNox is a series of submarine-based first-person shooter/simulation video games set in the distant future. The collection includes AquaNox, AquaNox 2: Revelation and AquaNox: The Angel's Tears. The predecessor and the starter of the series is the MS-DOS title Archimedean Dynasty.",First-person shooter,"['Single-player', 'Multiplayer']"
482,Zombie Panic in Wonderland,Wii,2010-05-03,"[WiiWare] Momotaro, a young hero, has got involved in the sudden wave of zombies that is hitting Wonderland. To save his friends from the spell of the ""amorous zombies"", machine gun in hand, he will have to solve the mystery of the ""scented dwarves"" in time and put an end to the evil power hidden in the castle in the northern city. [Akaoni]",65,7.3,"Zombie Panic in Wonderland, known in Japan as Zombie in Wonderland (ゾンビ イン ワンダーランド, Zonbi in Wandārando), is a frenetic third-person shooter for Wii released in 2007 by Spanish videogame developer Akaoni Studio. Zombie Panic in Wonderland was first released in Japan by Marvelous Entertainment on December 20, 2007, and a demo version was released on November 8, 2007. Soon after, it was released by Akaoni Studio in 2010. An updated version of the game, Zombie Panic in Wonderland Plus, was released on the iTunes App Store for the Apple iPod Touch, iPhone and iPad, and on the Google Play Store for Android devices in 2012, but was since taken down. Another version of the game, Zombie Panic in Wonderland DX, was released for Nintendo 3DS on October 30, 2014, for iOS devices on April 5, 2015, for Nintendo Switch on January 25, 2019, and for Microsoft Windows via Steam on November 6, 2019.

",Third-person shooter,"['Single player', 'multiplayer']"
483,Grand Theft Auto V,Xbox One,2014-11-18,"Grand Theft Auto 5 melds storytelling and gameplay in unique ways as players repeatedly jump in and out of the lives of the game's three protagonists, playing all sides of the game's interwoven story.",97,7.9,"Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the seventh main entry in the Grand Theft Auto series, following 2008's Grand Theft Auto IV, and the fifteenth instalment overall. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and gunrunner Trevor Philips—and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals. The open world design lets players freely roam San Andreas's open countryside and the fictional city of Los Santos, based on Los Angeles.
The game is played from either a third-person or first-person perspective, and its world is navigated on foot and by vehicle. Players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.
The game's development began around the time of Grand Theft Auto IV's release and was shared between many of Rockstar's studios worldwide. The development team drew influence from many of their previous projects such as Red Dead Redemption and Max Payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. Much of the development work constituted the open world's creation, and several team members conducted field research around California to capture footage for the design team. The game's soundtrack features an original score composed by a team of producers who collaborated over several years. Grand Theft Auto V was released in September 2013 for the PlayStation 3 and Xbox 360, in November 2014 for the PlayStation 4 and Xbox One, in April 2015 for Windows, and in March 2022 for the PlayStation 5 and Xbox Series X/S.
Extensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. It received critical acclaim, with praise directed at its multiple-protagonist design, open world, presentation and gameplay. However, it caused controversies related to its depiction of violence and women. It won year-end accolades including Game of the Year awards from several gaming publications, and is considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made. It is the second best-selling video game of all time with over 185 million copies shipped, and as of 2023, one of the most financially successful entertainment products of all time, with about $8 billion in worldwide revenue. Its successor is in development.",Action-adventure,"['Single-player', 'multiplayer']"
484,Grand Theft Auto V,PlayStation 3,2013-09-17,"Los Santos is a vast, sun-soaked metropolis full of self-help gurus, starlets and once-important, formerly-known-as celebrities. The city was once the envy of the Western world, but is now struggling to stay afloat in an era of economic uncertainty and reality TV. Amidst the chaos, three unique criminals plot their own chances of survival and success: Franklin, a former street gangster in search of real opportunities and serious cheddar; Michael, a professional ex-con whose retirement is a lot less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Quickly running out of options, the crew risks it all in a sequence of daring and dangerous heists that could set them up for life.",97,8.3,"Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the seventh main entry in the Grand Theft Auto series, following 2008's Grand Theft Auto IV, and the fifteenth instalment overall. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and gunrunner Trevor Philips—and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals. The open world design lets players freely roam San Andreas's open countryside and the fictional city of Los Santos, based on Los Angeles.
The game is played from either a third-person or first-person perspective, and its world is navigated on foot and by vehicle. Players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.
The game's development began around the time of Grand Theft Auto IV's release and was shared between many of Rockstar's studios worldwide. The development team drew influence from many of their previous projects such as Red Dead Redemption and Max Payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. Much of the development work constituted the open world's creation, and several team members conducted field research around California to capture footage for the design team. The game's soundtrack features an original score composed by a team of producers who collaborated over several years. Grand Theft Auto V was released in September 2013 for the PlayStation 3 and Xbox 360, in November 2014 for the PlayStation 4 and Xbox One, in April 2015 for Windows, and in March 2022 for the PlayStation 5 and Xbox Series X/S.
Extensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. It received critical acclaim, with praise directed at its multiple-protagonist design, open world, presentation and gameplay. However, it caused controversies related to its depiction of violence and women. It won year-end accolades including Game of the Year awards from several gaming publications, and is considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made. It is the second best-selling video game of all time with over 185 million copies shipped, and as of 2023, one of the most financially successful entertainment products of all time, with about $8 billion in worldwide revenue. Its successor is in development.",Action-adventure,"['Single-player', 'multiplayer']"
485,Grand Theft Auto V,Xbox 360,2013-09-17,"Los Santos is a sprawling sun-soaked metropolis full of self-help gurus, starlets and once-important stars. The city was once the envy of the Western world, but is now struggling to stay relevant in an era of economic uncertainty and reality TV. Amidst the chaos, three very different criminals chart their own chances of survival and success: Franklin, a former street gangster, now looking for real opportunities and fat stacks of cash; Michael, a professional ex-con whose retirement is significantly less rosy than he hoped it would be; and Trevor, a violent maniac driven by the chance of a cheap high and the next big score. Rapidly running out of options, the crew risks everything in a series of bolt and dangerous heists that could set them up for the long haul.",97,8.3,"Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the seventh main entry in the Grand Theft Auto series, following 2008's Grand Theft Auto IV, and the fifteenth instalment overall. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and gunrunner Trevor Philips—and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals. The open world design lets players freely roam San Andreas's open countryside and the fictional city of Los Santos, based on Los Angeles.
The game is played from either a third-person or first-person perspective, and its world is navigated on foot and by vehicle. Players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.
The game's development began around the time of Grand Theft Auto IV's release and was shared between many of Rockstar's studios worldwide. The development team drew influence from many of their previous projects such as Red Dead Redemption and Max Payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. Much of the development work constituted the open world's creation, and several team members conducted field research around California to capture footage for the design team. The game's soundtrack features an original score composed by a team of producers who collaborated over several years. Grand Theft Auto V was released in September 2013 for the PlayStation 3 and Xbox 360, in November 2014 for the PlayStation 4 and Xbox One, in April 2015 for Windows, and in March 2022 for the PlayStation 5 and Xbox Series X/S.
Extensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. It received critical acclaim, with praise directed at its multiple-protagonist design, open world, presentation and gameplay. However, it caused controversies related to its depiction of violence and women. It won year-end accolades including Game of the Year awards from several gaming publications, and is considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made. It is the second best-selling video game of all time with over 185 million copies shipped, and as of 2023, one of the most financially successful entertainment products of all time, with about $8 billion in worldwide revenue. Its successor is in development.",Action-adventure,"['Single-player', 'multiplayer']"
486,Grand Theft Auto V,PlayStation 4,2014-11-18,"The sprawling sun-soaked metropolis of Los Santos is chock full of self-help coaches, starlets and C-List celebrities, once on top of the media world, now struggling to stay relevant in time of economic malaise and lowest-common-denominator reality TV. Amidst this madness, three unique criminals plan their own chances of survival and success: Franklin, a street-level hustler in search of opportunities for serious money; Michael, an ex-con whose ""retirement"" is a less rosy than he hoped it would be; and Trevor, a violent dude driven by the chance for a quick high and the next big score. Nearly out of options, the crew risks it all in a series of daring and dangerous heists that could set them up for life - one way or the other.",97,8.4,"Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the seventh main entry in the Grand Theft Auto series, following 2008's Grand Theft Auto IV, and the fifteenth instalment overall. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and gunrunner Trevor Philips—and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals. The open world design lets players freely roam San Andreas's open countryside and the fictional city of Los Santos, based on Los Angeles.
The game is played from either a third-person or first-person perspective, and its world is navigated on foot and by vehicle. Players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.
The game's development began around the time of Grand Theft Auto IV's release and was shared between many of Rockstar's studios worldwide. The development team drew influence from many of their previous projects such as Red Dead Redemption and Max Payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. Much of the development work constituted the open world's creation, and several team members conducted field research around California to capture footage for the design team. The game's soundtrack features an original score composed by a team of producers who collaborated over several years. Grand Theft Auto V was released in September 2013 for the PlayStation 3 and Xbox 360, in November 2014 for the PlayStation 4 and Xbox One, in April 2015 for Windows, and in March 2022 for the PlayStation 5 and Xbox Series X/S.
Extensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. It received critical acclaim, with praise directed at its multiple-protagonist design, open world, presentation and gameplay. However, it caused controversies related to its depiction of violence and women. It won year-end accolades including Game of the Year awards from several gaming publications, and is considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made. It is the second best-selling video game of all time with over 185 million copies shipped, and as of 2023, one of the most financially successful entertainment products of all time, with about $8 billion in worldwide revenue. Its successor is in development.",Action-adventure,"['Single-player', 'multiplayer']"
487,Grand Theft Auto V,PC,2015-04-13,"Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay alive in a time of economic uncertainty and cheap reality TV. Amidst the turmoil, three very unique criminals plot their own chances of survival and success: Franklin, a street hustler looking for tangible opportunities and serious money; Michael, a professional ex-con whose retirement is less rosy than he figured it would be; and Trevor, a violent dude driven by the opportunity for a cheap high and his next big score. With options at a premium, the crew risks it all in a myriad of daring and dangerous heists that could set them up for life.",96,7.8,"Grand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the seventh main entry in the Grand Theft Auto series, following 2008's Grand Theft Auto IV, and the fifteenth instalment overall. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and gunrunner Trevor Philips—and their attempts to commit heists while under pressure from a corrupt government agency and powerful criminals. The open world design lets players freely roam San Andreas's open countryside and the fictional city of Los Santos, based on Los Angeles.
The game is played from either a third-person or first-person perspective, and its world is navigated on foot and by vehicle. Players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.
The game's development began around the time of Grand Theft Auto IV's release and was shared between many of Rockstar's studios worldwide. The development team drew influence from many of their previous projects such as Red Dead Redemption and Max Payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. Much of the development work constituted the open world's creation, and several team members conducted field research around California to capture footage for the design team. The game's soundtrack features an original score composed by a team of producers who collaborated over several years. Grand Theft Auto V was released in September 2013 for the PlayStation 3 and Xbox 360, in November 2014 for the PlayStation 4 and Xbox One, in April 2015 for Windows, and in March 2022 for the PlayStation 5 and Xbox Series X/S.
Extensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. It received critical acclaim, with praise directed at its multiple-protagonist design, open world, presentation and gameplay. However, it caused controversies related to its depiction of violence and women. It won year-end accolades including Game of the Year awards from several gaming publications, and is considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made. It is the second best-selling video game of all time with over 185 million copies shipped, and as of 2023, one of the most financially successful entertainment products of all time, with about $8 billion in worldwide revenue. Its successor is in development.",Action-adventure,"['Single-player', 'multiplayer']"
488,Sonic & All-Stars Racing Transformed,PlayStation 3,2012-11-18,"Sonic and the All-Stars cast battle for supremacy across land, water and air in transforming vehicles that change from cars to boats to planes mid-race.",82,8.3,"Sonic & All-Stars Racing Transformed is a kart racing video game developed by Sumo Digital and published by Sega. It was released for the PlayStation 3, Xbox 360, and Wii U in November 2012, for PlayStation Vita in December 2012, for Windows in January 2013, for Nintendo 3DS in February 2013, and for Android and iOS devices in January 2014. The PS3 and Wii U versions of the game were released in Japan on May 15, 2014.Sonic & All-Stars Racing Transformed is the sequel to Sonic & Sega All-Stars Racing, and the fourth and final installment in the Sega All-Stars series. The game was a launch title for the Wii U in North America and Europe. Sonic & All-Stars Racing Transformed received positive reviews from critics, with many praising the character roster and major improvements from its predecessor. It received a nomination for ""Best Racing Game of 2012"" from GameTrailers, and was nominated for a Golden Joystick Award in 2013 for the ""Best Multiplayer” category — losing to Payday 2.",Racing,"['Single-player', 'multiplayer']"
489,Sonic & All-Stars Racing Transformed,Xbox 360,2012-11-18,"Sonic and the All-Stars cast battle for supremacy across land, water and air in transforming vehicles that change from cars to boats to planes mid-race.",82,8.3,"Sonic & All-Stars Racing Transformed is a kart racing video game developed by Sumo Digital and published by Sega. It was released for the PlayStation 3, Xbox 360, and Wii U in November 2012, for PlayStation Vita in December 2012, for Windows in January 2013, for Nintendo 3DS in February 2013, and for Android and iOS devices in January 2014. The PS3 and Wii U versions of the game were released in Japan on May 15, 2014.Sonic & All-Stars Racing Transformed is the sequel to Sonic & Sega All-Stars Racing, and the fourth and final installment in the Sega All-Stars series. The game was a launch title for the Wii U in North America and Europe. Sonic & All-Stars Racing Transformed received positive reviews from critics, with many praising the character roster and major improvements from its predecessor. It received a nomination for ""Best Racing Game of 2012"" from GameTrailers, and was nominated for a Golden Joystick Award in 2013 for the ""Best Multiplayer” category — losing to Payday 2.",Racing,"['Single-player', 'multiplayer']"
490,Sonic & All-Stars Racing Transformed,Wii U,2012-11-18,"Sonic and the All-Stars cast battle for supremacy across land, water and air in transforming vehicles that change from cars to boats to planes mid-race.",78,8.1,"Sonic & All-Stars Racing Transformed is a kart racing video game developed by Sumo Digital and published by Sega. It was released for the PlayStation 3, Xbox 360, and Wii U in November 2012, for PlayStation Vita in December 2012, for Windows in January 2013, for Nintendo 3DS in February 2013, and for Android and iOS devices in January 2014. The PS3 and Wii U versions of the game were released in Japan on May 15, 2014.Sonic & All-Stars Racing Transformed is the sequel to Sonic & Sega All-Stars Racing, and the fourth and final installment in the Sega All-Stars series. The game was a launch title for the Wii U in North America and Europe. Sonic & All-Stars Racing Transformed received positive reviews from critics, with many praising the character roster and major improvements from its predecessor. It received a nomination for ""Best Racing Game of 2012"" from GameTrailers, and was nominated for a Golden Joystick Award in 2013 for the ""Best Multiplayer” category — losing to Payday 2.",Racing,"['Single-player', 'multiplayer']"
