,Title,platform,release_date,summary,meta_score,user_review
469,Transport Fever,PC,2016-11-08,"Transport Fever is a railroad-focused tycoon game. Players start in 1850 and build up a thriving transport company. As an emerging transport tycoon, the player constructs stations, airports, harbors and makes money by connecting areas requiring transport services. Construct complex road-rail-water-air networks in the endless game and experience more than 150 year of transportation history. Fulfill the peoples needs and watch cities evolve dynamically. Supply industries with freight, develop complete cargo chains and enable economic growth. Build up a transport empire! Master challenges and get entertained in the campaign game mode. Two campaigns each consisting of ten missions with increasing difficulty can be tackled. Missions of the American and the European campaign tell the historical context of the 19th and 20th century and offer a wide range of real-world transportation challenges.",71,7.7
470,Picross 3D,DS,2010-05-03,Picross 3D is the sequel to the popular Picross DS puzzle game. The original game was a number-based grid puzzle that challenged players to reveal a hidden picture. Picross 3D moves the action into three dimensions. Picross 3D blends the logical challenge of a sudoku puzzle with the excitement of discovering the hidden images within. [Nintendo],83,8.1
471,Mario Party DS,DS,2007-11-19,"You'd think years of defeat would get to a guy, but Bowser just doesn't give up! He's captured Mario and his friends in his pursuit of a crystal that the group collected when it fell from the sky, and he doesn't hesitate to shrink them to miniature size to get rid of them and get his hands on the other four crystals. The mini-heroes have to find the crystals before he does, making their way through giant environments filled with enormous creatures. The single-player campaign takes place in five different settings, each of them ending with a boss. As usual, players have to collect coins and stars, at the same time escaping dangers such as Piranha Plants and other classic creatures from the Mario universe. As they progress through the game, players also can unlock various mini-games, such as Rail Riders, Sweet Sleuth and Goomba Wrangler! When players are tired of exploring the story mode, they can choose one of the other modes, like Puzzle and Minigame. Play with up to four friends on the DS' local Wi-Fi and let the party begin. [Nintendo]",72,7.9
472,Rift: Storm Legion,PC,2012-11-13,Storm Legion is the first expansion to Trion World's MMORPG game Rift.,79,7.7
473,Rogue Heroes: Ruins of Tasos,Switch,2021-02-23,"A dark evil stirs beneath the once peaceful land of Tasos Deep within the four Great Dungeons, the ancient seals that hold the Titans at bay are gravely weakened and their minions have unleashed terror upon the world. The Goddesses who forged the seals long ago have made a desperate plea for a band of heroes to come forth and save the people from a terrible fate Rogue Heroes is a 1-4 player classic adventure game with modern rogue-lite elements. Team up with friends to combat procedural dungeons, explore an expansive overworld full of secrets and take down the Titans to save Tasos!",78,8.4
474,NBA 2K9,Xbox 360,2008-10-07,"Improved facial and skin textures, better uniforms, improved eye movement and more realistic crowd reactions bring the game alive like never before. Analyst Clark Kellogg and sideline reporter Cheryl Miller join color commentator Kevin Harlan to create one of the most knowledgeable broadcast teams in the game. End each quarter with enhanced, multiple angle replay highlights, and be rewarded like never before with all-new, true-to-life celebration sequences after you capture the NBA championship. [2K Sports]",84,7.1
475,NBA 2K9,PlayStation 3,2008-10-07,"Improved facial and skin textures, better uniforms, improved eye movement and more realistic crowd reactions bring the game alive like never before. Analyst Clark Kellogg and sideline reporter Cheryl Miller join color commentator Kevin Harlan to create one of the most knowledgeable broadcast teams in the game. End each quarter with enhanced, multiple angle replay highlights, and be rewarded like never before with all-new, true-to-life celebration sequences after you capture the NBA championship. [2K Sports]",82,7.1
476,GT Legends,PC,2006-01-23,"The golden age of motor sports has returned. Experience one of the world's most exciting racing series in GT Legends, including the legendary touring cars of the 60's and 70's. Collect more then 90 original FiA GTC-TC team vehicles and demonstrate your driving skill on real European racetracks. Original Tracks: Over 25 variations of real tracks like Imola, Monza, Donington and Mondello Park. 5 Difficulty Levels: Ranging from the easy beginner mode to the ultra realistic simulation mode. Career Mode: Win numerous cups and buy your dream car in this challenging mode. Pure Realism: Experience an unequalled level of realism in cooperation with FiA GTC-TC teams, incl. pit stops and car setups. Real Sounds: Sophisticated recording techniques guarantee an authentic acoustic profile for each vehicle. Incredible Graphics: Leading edge graphics technology enabling spectacular special effects and dynamic day and night cycles. Multiplayer Mode: Impress your friends with rare unlockable cars and challenge up to 15 opponents online. [Atari]",84,7.8
477,Arc of Alchemist,PC,2020-01-30,Quinn Bravesford and her squad are sent on a quest to find the Great Power — the key to save humanity. Is there hope within the desert or is it merely a mirage?,46,3.5
478,Arc of Alchemist,Switch,2020-01-30,Quinn Bravesford and her squad are sent on a quest to find the Great Power — the key to save humanity. Is there hope within the desert or is it merely a mirage?,36,3.9
479,Fallen Earth: Welcome to the Apocalypse,PC,2009-09-22,"Mankind teeters on the edge of extinction, clinging to the bones of the old world while trying to recover long forgotten secrets. The Grand Canyon is the last bastion of humanity. The Shiva virus, which wiped out nearly all of humanity, has left the survivors and subsequent generations altered. The virus caused mutations, some of which were benign, some malignant, and just some incredible. It is your choice to either rise above the hardships of the post-apocalyptic world and rebuild what was lost or embrace the destruction and erase the corrupt world that remains. Where will you stand in the fight for Fallen Earth? [Steam]",71,7.0
480,Death end re;Quest,PlayStation 4,2019-02-19,"Jump between reality & in-game modes, as players will need to investigate in the real world to solve the mysterious inner-workings of the World Odyssey. Your decision can change the game's ending. In this turn-based command battle system, you can roam freely & duke it out with fearsome monsters. During battle, players can change the game's genre from a first-person shooter to a fighter game.",71,7.8
481,The Walking Dead: Season Two Episode 4 - Amid the Ruins,PC,2014-07-22,"Free from their brutal captor, the group continues their journey north. However, hunger, violence and death have taken their toll. Smoldering conflicts and inevitable changes within the group remind Clementine that danger can come from within, as well as from the outside; she must choose her allies wisely in this second-to-last episode of The Walking Dead: Season Two.",78,8.1
482,The Walking Dead: Season Two Episode 4 - Amid the Ruins,PlayStation 3,2014-07-22,"Free from their brutal captor, the group continues their journey north. However, hunger, violence and death have taken their toll. Smoldering conflicts and inevitable changes within the group remind Clementine that danger can come from within, as well as from the outside; she must choose her allies wisely in this second-to-last episode of The Walking Dead: Season Two.",78,7.9
483,The Walking Dead: Season Two Episode 4 - Amid the Ruins,Xbox 360,2014-07-23,"Free from their brutal captor, the group continues their journey north. However, hunger, violence and death have taken their toll. Smoldering conflicts and inevitable changes within the group remind Clementine that danger can come from within, as well as from the outside; she must choose her allies wisely in this second-to-last episode of The Walking Dead: Season Two.",71,7.2
484,Eldritch,PC,2013-10-21,"Eldritch is a 1st-person action game inspired by roguelikes, immersive sims, and H. P. Lovecraft. Unearth ancient secrets and find your path to freedom. Sneak, fight, and explore strange worlds. Invoke mystical powers to augment your play style. Randomly generated levels provide fresh challenges and opportunities. Unlock shortcuts to jump directly to deeper dungeons. [Minor Key Games]",77,6.6
485,Gemini Wars,PC,2012-06-08,"Gemini Wars is a Real Time Strategy Game set in space, featuring an epic campaign controlling fleets of ships in massive battles.",53,6.5
486,NBA Jam,Wii,2010-10-05,"Featuring gameplay that is true to the original, NBA JAM has players spinning with ankle breaking moves to the basket and on the way to high-flying, backboard-smashing dunks. In addition to the classic experience, EA SPORTS NBA JAM also introduces new game modes, characters and gameplay depth. [Electronic Arts]",79,8.6
487,NBA Jam,Xbox 360,2010-11-15,"Featuring gameplay that is true to the original, NBA Jam will have players spinning with ankle breaking moves to the basket and on the way to high-flying, backboard-smashing dunks. In addition to the classic experience, EA Sports NBA Jam will also introduce new game modes, characters and gameplay depth.",75,7.5
488,NBA Jam,PlayStation 3,2010-11-15,"Featuring gameplay that is true to the original, NBA Jam will have players spinning with ankle breaking moves to the basket and on the way to high-flying, backboard-smashing dunks. In addition to the classic experience, EA Sports NBA Jam will also introduce new game modes, characters and gameplay depth.",71,5.9
489,NBA Jam,Xbox,2003-09-23,"The popular granddaddy of arcade-style basketball is back. NBA Jam brings the supercharged, ""in-your-face"" highlights of NBA play to life with over-the-top, thrilling three-on-three basketball. Perform monster dunks and alley-oops and shoot from valuable hotspots to catch ""on-fire"" and obliterate the competition. You can choose from all 29 current NBA teams, players, and arenas and even outdoor playground courts like Rucker Park and LA's Venice Beach. With no fouls to slow down the game, be as rough and flashy as you can be.",68,8.1
490,Rocky: Legends,Xbox,2004-09-28,"A prequel to the movie Rocky, the game Rocky: Legends lets you experience all the action that took place before Rocky became the heavyweight boxing champion of the world. You'll pummel your way through a variety of career modes that feature Rocky, Clubber, Apollo, and Drago. Fight in 20 venues based on familiar locations from the Rocky films, such as the Philadelphia Art Museum, a casino on the Vegas strip, a Russian training camp, and more.",67,5.4
491,Rocky: Legends,PlayStation 2,2004-09-28,"Rocky Legends lets players experience the pummelling action and untold backstories that lead up to the events chronicled in the blockbuster Rocky movies. Pound the competition as legendary fighters Rocky Balboa (the Italian Stallion from the streets of Philly), Apollo Creed (the Master of Disaster), Clubber Lang (straight out of a Chicago jailhouse) and Ivan Drago, (the Iron Fist of mother Russia), rise from their raw beginnings as unproven amateurs toughing it out along the way to their professional careers as boxing champions. [Ubisoft]",65,8.6
492,Valkyria Revolution,DS,2017-06-27,"Jutlands elite soldiers, the Vanargand, must band together to defeat the Ruzi Empire and stop death itself - the Valkyria. This grizzled anti-Valkyria squad is equipped with advanced mana weaponry and has the powerful ability to wield ragnite spells to combat this terrifying threat. The unit is comprised of soldiers who have a high affinity for ragnite, and even Jutlands own Princess Ophelia has joined the ranks. The princess carries the utmost love for her country and has answered the call of duty to liberate those who are suffering from the Ruzis tyranny. However, Amleth Gronkjaer, the commanding officer of Vanargand hides a terrible secret. Is he friend or foe to the country he has sworn to protect?",56,4.9
493,Valkyria Revolution,PC,2017-06-27,"Jutlands elite soldiers, the Vanargand, must band together to defeat the Ruzi Empire and stop death itself - the Valkyria. This grizzled anti-Valkyria squad is equipped with advanced mana weaponry and has the powerful ability to wield ragnite spells to combat this terrifying threat. The unit is comprised of soldiers who have a high affinity for ragnite, and even Jutlands own Princess Ophelia has joined the ranks. The princess carries the utmost love for her country and has answered the call of duty to liberate those who are suffering from the Ruzis tyranny. However, Amleth Gronkjaer, the commanding officer of Vanargand hides a terrible secret. Is he friend or foe to the country he has sworn to protect?",54,5.7
494,Cossacks: The Art of War,PC,2002-03-31,"The focus of this expansion to ""Cossacks: European Wars"" is on an improved and more dynamic single player mode with adjustable difficulty. In addition to that the internet play and community features were greatly improved allowing players to check out each others histories and review recorded games. New units, nations, ships, a map editor, joining forces with the computer and exchanging resources all together take Cossacks to a new level. [CDV]",74,8.3
495,Vampire: The Masquerade - Coteries of New York,PC,2019-12-11,"Vampire: The Masquerade - Coteries of New York presents the conflict between two vampiric factions: the traditionalist Camarilla and the fiercely independent Anarchs among the iconic landmarks and night lights of The Big Apple. It's a unique, atmospheric, single-player narrative experience, set in a rich, fully licensed, globally recognized universe of Vampire: The Masquerade 5th Edition. * Choose your character from one of several distinct Clans * Every playable character offers unique powers (Disciplines), different ethical approaches to certain issues, and dialogue lines * Character-oriented quests allow you to create your own coterie and shape your relations by reinforcing NPC loyalties * Highly replayable - choices made in the game are reflected by the game's changing fiction * Various endings depending on your actions - which conclusion will you reach? * Suitable for both Vampire: The Masquerade veterans, and fans of mature narrative-driven games who are newcomers to the setting",70,7.4
496,Taito Legends Power-Up,PlayStation 4,2007-05-17,"(Currently available in the UK/EU only) To become a KAZooK super-star you have to make your way through the ultimate party games collection that can take you anywhere and bring to life your wildest dreams, or weirdest nightmares. Face killer Zombies, pilot out of control UFOs, fight with mad sweaty Sumo’s, cause mayhem at an outrageous pool party and encounter many other thrills and oddities. Kazook is a bizarre collection of 30 totally addictive mini-games set in a distinctly stylized world. With 16 wacky characters to choose from from cool skater kids to scary Goths, to hard-core gangster rappers and sexy beach babes - drive yourself crazy with excitement. 30 bizarre mini-games - simple shoot-em-ups to dance games, Fighting to Racing - Offering a variety of game styles, each with its own challenge – something for everyone. Take control of one of 16 characters – all-star rappers, skate-kids, wild Goths girls and cool street dudes among others as you take on the many challenges KAZooK has to offer. 3 solo game modes: Normal – Battle through each mini-game one-by-one, unlocking more levels and bonuses. Survival – Test your staying power – play through all the minigames, lasting as long as possible. Party – take on the challenge of completing all minigames to become the ultimate party superstar! Wi-Fi Multiplayer – 27 mini-games can be played 2 player using the PSP wi-fi feature and 6 can be played hot-seat on one PSP - beat, blast and race your friends. Are you KAZooK? Game Sharing – 5 of the minigames can be shared with other PSP’s using only one game UMD. Controls – Simple controls allows gamers of all abilities to pick it up and play but impossible to put down! [Xplosiv]",41,8.3
497,Crash Bandicoot Purple: Ripto's Rampage,Game Boy Advance,2004-06-03,"In Crash Bandicoot Purple: Ripto's Rampage and Spyro Orange: The Cortex Conspiracy, Dr. Neo Cortex--Crash's nemesis--and Ripto--Spyro's nemesis--have accidentally met up through underground portals and are set on taking over the entire universe. Crash and Spyro must team up with each other to discover the identity of the new menace and save the universe from this evil plot. In these side-scrolling adventures, you can link up with three friends for a variety of multiplayer modes, including Party Games, Wager Games, and Card Trading. Connecting both Crash Bandicoot Purple and Spyro Orange gives you the option of unlocking special content and allows you to trade and wager the cards with friends.",67,6.3
498,Astrologaster,Switch,2021-02-18,"Play as ‘Doctor’ Simon Forman - unlicensed medical professional and astrologer - and help him win a medical licence. Astrologaster is a narrative-based comedy game. Explore Forman’s life, his work, and his relationships with his clients. Make story choices by performing astrological readings. Choose strategically or make decisions just for fun - but be aware that your choices will have consequences (and unpredictable side effects!) 13 clients come to see you 5-7 times seeking advice for personal, professional and medical problems. By examining the stars in the sky, you diagnose and determine answers for your clients’ problems. As well as affecting the storyline, these choices will alter your clients’ satisfaction levels. Satisfied clients will write you letters of recommendation, and with enough of these letters you can obtain a medical licence from the University of Cambridge. So-called “real” (licensed) doctors call Forman a quack and fraud. Help Forman prove these medical establishment elitists wrong!",79,tbd
499,Off-Road Redneck Racing,PC,2001-05-02,"Officially endorsed by Leonard and Bubba, this racer is ""a blast of seriously fun off-road racing action."" Select from 16 different vehicles types - each with three styling variations making for a grand total of 48 unique racing machines - and take on the best drivers in the south across 24 challenging tracks, spread across 6 environments. (Interplay)",65,tbd
500,Yggdra Union,Game Boy Advance,2006-11-21,"Ruled by a royal family said to be descendants of the gods themselves, Fantasinia is a prosperous and peaceful land -- until the peace is shattered by the invading forces of the Empire of Bronkia. Led by the young emperor Gulcasa, who seized control of the Empire in a brutal coup d?etat, Bronchia's Imperial Army cuts a bloody swath through the people of Fantasinia and the Royal Armies of King Ordeene. Amidst the chaos, a young woman escapes from the besieged capital of Partina -- a woman with innocence in her face, and a sword in her hand. The girl?s name is Princess Yggdra, the last surviving member of the royal family; the sword is the Gran Centurio, a legendary blade once wielded by the founder of Fantasinia, and passed down through generations of royalty. Fleeing to to a remote valley at the southern tip of the continent, Yggdra meets up with Milanor, the charismatic leader of a band of thieves, and readies herself for a war of liberation.",77,7.7
501,Skies of Arcadia,Dreamcast,2000-11-13,"The age of exploration has dawned and you are about to embark on a magical journey, a voyage of discovery across the vast Skies of Arcadia in search of treasures untold, and where there is treasure, there will be Air Pirates! With over six vast lands to navigate, magnificent ships to fly and customize, a host of weapons and magical spells to be discovered and unique Internet functions to aid your quest, Skies of Arcadia is the most immense gaming experience ever created.",93,8.9
502,FreeStyle Street Basketball,PC,2007-05-15,"FreeStyle is the first foray into building a North American online gaming community that combines sports with RPG elements. Whether a hardcore or casual gamer, enter an immersive world that tests your skills in the ultimate street basketball to hit virtual playgrounds around the country. Dress the part, hit up the musical play list, then break some ankles as you team up with and against players just like the pick-up games of Venice Beach to Rucker Park – only this time you have the skills. Dude... don’t just sit there, ball’s in your court. [Vivendi Universal]",69,7.4
503,Konami Krazy Racers,Game Boy Advance,2001-06-10,"Race your favorite Konami characters through 16 action packed, fun-filled courses on your way to the checkered flag! 16 challenging courses showcase the power of hame Boy Advance graphics, including Cyber Field, Ice Paradise, Pop 'n Beach, Skybridge, and many more! 8 Classic Konami characters to choose from, including Ninja from Metal Gear Solid, Dracula of Castlevania fame, and Goemon the Mystical Ninja.",78,8.0
504,Lord of Magna: Maiden Heaven,3DS,2015-06-02,"Residing on the outskirts of town as the proprietor of a quiet, rustic inn, Luchs has lived through much of his life proudly clinging to a code of honour passed down from father to son for generations: ""When our cherished guests finally arrive, think of them as nothing less than family."" Unfortunately, the inn has not yet had even a single guest since its foundation, leaving Luchs no choice but to excavate and sell crystals - the islands most valuable fuel source - in order to make ends meet. It is during one such routine excavation that he happens upon a beautiful maiden encased inside a massive crystal, and her abrupt awakening triggers a series of unexpected events that include foul fiends, astonishing abilities, and miraculous mysteries... Features: -Seven heroines, seven stories - each of the seven heroines who come to inhabit the inn have their own stories to tell, and building relationships with them will unlock new, specialised attacks to aid in combat when they join the battle party. -Strategic combat makes every turn count - ""Bowl"" over as many enemies with a single strike as possible, challenging players to line up melee, ranged and magical attacks so frontline enemies are knocked into others for maximum collateral damage. -Craft your way to new skills in addition to unlocking new abilities, participating in Free Battles and registering for Street Pass can provide rare crafting items for use in creating new skills to help turn the tides of battle. -Adjustable difficulty levels and more - players can toggle among Easy, Normal and Hard difficulties, use the Fast Forward feature to speed up combat as desired, or relive fond memories via in-game movie and art galleries.",68,7.4
505,Dragon Quest Wars,DS,2009-09-28,"[DSiWare] DRAGON QUEST WARS is a grid-based strategy game featuring all of your favorite quirky DRAGON QUEST monsters. Choose from several modes and get ready for battle. While the rules are simple, strategy is the key to victory. The game features single-player and DS Wireless Play, as well as battles with foes worldwide via Nintendo® Wi-Fi Connection. (Broadband Internet access is required for online play.) [Square Enix]",83,5.6
506,Friday The 13th: The Game - Ultimate Slasher Switch Edition,Switch,2019-08-13,"Play as Jason Voorhees. For the first time on Switch, you will have the opportunity to play as Jason Voorhees, the most famous killer in horror. Stalk your prey, ambush them whenever you see fit and strike fear in the hearts of so many hapless victims as you become the legend himself! Friday the 13th: The Game will include a variety of kills, new and familiar, that will help you set the tone for the Jason Voorhees that you want to be. You’ll even get to unlock various Jason incarnations from the movies. Jason will be equipped with a terrifying array of abilities, giving you the control of a hunter at the height of his game. These are his woods, and he knows them all too well. Jason will not only feed off the fear of his victims, but will become stronger as the night progresses. The darker the night, the more terrifying Jason becomes.",69,7.6
507,"Crouching Tiger, Hidden Dragon",Game Boy Advance,2003-10-09,"Relive the epic story from the film in the game of Crouching Tiger, Hidden Dragon. By stepping into the roles of each of the main characters--Li Mu Bai, Yu Shu Lien, Jen, and ""Dark Cloud"" Lo--you can unleash a variety of fighting techniques, weapons, stunts, and moves against brutally gifted enemies. Characters improve in skill throughout the game, learn new moves, and earn bonuses and rewards as they master the art of Wudan-style fighting.",60,tbd
508,"Crouching Tiger, Hidden Dragon",DS,2003-12-09,"Relive the epic story from the film in the game of Crouching Tiger, Hidden Dragon. By stepping into the roles of each of the main characters--Li Mu Bai, Yu Shu Lien, Jen, and ""Dark Cloud"" Lo--you can unleash a variety of fighting techniques, weapons, stunts, and moves against brutally gifted enemies. Characters improve in skill throughout the game, learn new moves, and earn bonuses and rewards as they master the art of Wudan-style fighting.",52,4.8
509,"Crouching Tiger, Hidden Dragon",Xbox One,2003-10-09,"Relive the epic story of Crouching Tiger, Hidden Dragon and recreate the kung-fu fury from the famed martial-arts masterpiece for the very first time! Unleash a variety of fighting techniques, weapons, stunts, and superhuman moves against brutally gifted enemies to master the art of Wudan-style fighting, inspired by renowned choreographer Yuen Wo-Ping. Green Destiny beckons you. Rediscover the legend. [Ubi Soft]",48,4.5
510,WWE Raw 2,Xbox,2003-09-16,"The sequel to WWF Raw features enhanced graphics and gameplay, a story mode, and more than 60 WWE superstars. WWE Raw 2 showcases its new features in eight arenas that come to life with 3D crowds and special effects. The enhanced gameplay controls provide better grappling, more balanced momentum shifts, and a realistic AI. Now you can play in different modes including multiplayer season mode, Exhibition, Season, King of The Ring, Royal Rumble, expanded Title Match, and Create-A-Superstar. The game also includes Hell in a Cell and TLC match types.",68,7.4
511,Super Mario Sunshine,GameCube,2002-08-25,"When Mario, Peach, and an entourage of Peach's loyal Toad friends set out for a tropical vacation on lovely Isle Delfino, they're in store for much more than a relaxing holiday. A mustachioed maniac has mucked up the entire island, and Mario is accused of committing the crime. Armed with a hi-tech water cannon called FLUDD (Flash Liquidizer Ultra Dousing Device), Mario sets out to clean the island, clear his name, and solve the mystery of the villainous vandal. With new enemies, moves, and surprises, Super Mario Sunshine offers plenty of challenges.",92,8.4
512,Final Fantasy X-2,PlayStation 2,2003-11-18,"Taking place two years after Yuna's fateful journey to defeat Sin, the once chaotic world ""Eternal Calm."" The people of Spira now shun the teachings of Yevon and have opened their arms to former foes, the Al Bhed and the use of machina. It is a time of the ""Machina Revolution"" where people now believe that machina is useful and beneficial, as long as it is used properly. However, even with the peaceful life they now lived, there is emptiness in Yunaís heart that is keeping her from moving on as the others have. One day, Yuna obtains a mystical sphere that contains imagery of what might be the Blitzball player she thought was gone forever. Although Yuna isnít certain that it is him or if he is even alive, she's driven to seek him out. Yuna needs closure to their unexpected parting, even if only to find that she will never see him again. So begins her journey, this is Yuna's story.",85,7.5
513,The Outer Worlds: Peril on Gorgon,PC,2020-09-09,"The Outer Worlds: Peril on Gorgon takes place on the Gorgon asteroid, which was the site of one of the most ambitious scientific undertakings in Halcyon: the development and synthesis of Adrena-Time, a drug intended to improve the productivity of workers across the Halcyon colony.",74,6.5
514,The Outer Worlds: Peril on Gorgon,PlayStation 4,2020-09-09,"The Outer Worlds: Peril on Gorgon takes place on the Gorgon asteroid, which was the site of one of the most ambitious scientific undertakings in Halcyon: the development and synthesis of Adrena-Time, a drug intended to improve the productivity of workers across the Halcyon colony.",70,6.5
515,Cosmic Star Heroine,Switch,2018-08-14,Why can't the galaxy just stay saved? 3 exotic planets to explore. Aliens. Robots. Magic. Forbidden technology. Conspiracies. A galactic threat. And one brave heroine to make things right. Cosmic Star Heroine is an exciting RPG from the creators of Cthulhu Saves the World.,78,7.4
516,Cosmic Star Heroine,PC,2017-04-11,3 exotic planets to explore. Aliens. Robots. Magic. Forbidden technology. Ruined Worlds. Ghosts. Long-lost secrets. Conspiracies. A galactic threat. And one brave heroine to make things right.,77,7.1
517,Cosmic Star Heroine,PlayStation 4,2017-04-11,"Alyssa L’Salle was one of the top secret agents at the Agency of Peace & Intelligence on Planet Araenu. When she uncovers a horrible conspiracy, she has to go rogue in order to save the galaxy.",76,7.5
518,Frank Herbert's Dune,PlayStation 3,2001-12-14,"Explore Dune, learn the Weirding Ways to fight the Sardaukars, harass the Harkonnens, sabotage their Spice factories, learn the secrets of the giant sand worms and use the mysterious substance, known as Spice, to gain power and to foresee enemy positions. You must become a master in the art of infiltration and strike the enemy when they least expect it, as you prepare the Fremen for the final assault... their ultimate battle for Independence. [DreamCatcher Interactive]",48,5.0
519,Army Men: Sarge's War,Xbox 360,2004-08-21,"A new enemy, Colonel Malice, threatens the very existence of the Green nation. Now, with his squad destroyed, Sarge becomes a one-man army out to stop Colonel Malice and the Tan army at all costs. Guide Sarge through 12 dangerous levels, which span both the real world and the world of toys. Sarge can wield authentic weapons such as assault rifles, shotguns, bazookas, time bombs, and more. Be careful--enemies can now duck, cover, flank your positions, and generally try to kill you as intensely as you try to kill them.",56,6.5
520,Army Men: Sarge's War,PlayStation 3,2004-08-02,"A new enemy, Colonel Malice, threatens the very existence of the Green nation. Now, with his squad destroyed, Sarge becomes a one-man army out to stop Colonel Malice and the Tan army at all costs. Guide Sarge through 12 dangerous levels, which span both the real world and the world of toys. Sarge can wield authentic weapons such as assault rifles, shotguns, bazookas, time bombs, and more. Be careful--enemies can now duck, cover, flank your positions, and generally try to kill you as intensely as you try to kill them.",44,tbd
521,Transformers: War for Cybertron,PlayStation 3,2010-06-22,"Transformers: War for Cybertron challenges players to become the ultimate weapon as a TRANSFORMERS character in the final, epic war that will determine the survival of their entire race. Armed with a diverse arsenal of lethal, high-tech weaponry and the ability to instantly convert from robot to vehicle at any time, players will engage in heart-pounding battles on land and in the air in this gripping, 3rd person action shooter set in the TRANSFORMERS’ war-ravaged homeland. Complete with several multiplayer modes, Transformers: War for Cybertron allows gamers to play through story missions with their friends in drop in/drop out online co-op, and also create their own TRANSFORMERS character for competitive head-to-head multiplayer modes, choosing among four distinct character classes, personalizing its look and selecting from a huge variety of weapons, skills and abilities. [Activision]",77,8.2
522,Transformers: War for Cybertron,Xbox 360,2010-06-22,"Transformers: War for Cybertron challenges players to become the ultimate weapon as a TRANSFORMERS character in the final, epic war that will determine the survival of their entire race. Armed with a diverse arsenal of lethal, high-tech weaponry and the ability to instantly convert from robot to vehicle at any time, players will engage in heart-pounding battles on land and in the air in this gripping, 3rd person action shooter set in the TRANSFORMERS’ war-ravaged homeland. Complete with several multiplayer modes, Transformers: War for Cybertron allows gamers to play through story missions with their friends in drop in/drop out online co-op, and also create their own TRANSFORMERS character for competitive head-to-head multiplayer modes, choosing among four distinct character classes, personalizing its look and selecting from a huge variety of weapons, skills and abilities. [Activision]",76,8.5
523,Transformers: War for Cybertron,PC,2010-06-22,"Transformers: War for Cybertron challenges players to become the ultimate weapon as a TRANSFORMERS character in the final, epic war that will determine the survival of their entire race. Armed with a diverse arsenal of lethal, high-tech weaponry and the ability to instantly convert from robot to vehicle at any time, players will engage in heart-pounding battles on land and in the air in this gripping, 3rd person action shooter set in the TRANSFORMERS’ war-ravaged homeland. Complete with several multiplayer modes, Transformers: War for Cybertron allows gamers to play through story missions with their friends in drop in/drop out online co-op, and also create their own TRANSFORMERS character for competitive head-to-head multiplayer modes, choosing among four distinct character classes, personalizing its look and selecting from a huge variety of weapons, skills and abilities. [Activision]",75,7.8
524,DoDonPachi Resurrection,Xbox 360,2011-11-04,,77,8.5
525,LEGO Star Wars: The Complete Saga,Wii,2007-11-06,"From the Trade Federation's ""negotiations"" with Obi-Wan Kenobi and Qui-Gon Jinn in The Phantom Menace to the space battle above Endor in Return of the Jedi, The Complete Saga allows players to kick some brick through 36 Story Mode levels, including Episode II's newly added high-speed pursuit of bounty hunter Zam Wessell. Traveller’s Tales has revamped levels from the original LEGO Star Wars to match the gameplay evolutions found in LEGO Star Wars II, and Prequel Trilogy characters can now be mixed and matched with those from the Original Trilogy – more than 160 in all. [LucasArts]",80,8.7
526,LEGO Star Wars: The Complete Saga,Xbox 360,2007-11-06,"From the Trade Federation's ""negotiations"" with Obi-Wan Kenobi and Qui-Gon Jinn in The Phantom Menace to the space battle above Endor in Return of the Jedi, The Complete Saga allows players to kick some brick through 36 Story Mode levels, including Episode II's newly added high-speed pursuit of bounty hunter Zam Wessell. Traveller’s Tales has revamped levels from the original LEGO Star Wars to match the gameplay evolutions found in LEGO Star Wars II, and Prequel Trilogy characters can now be mixed and matched with those from the Original Trilogy – more than 160 in all. [LucasArts]",80,7.9
527,LEGO Star Wars: The Complete Saga,DS,2007-11-06,"From the Trade Federation's ""negotiations"" with Obi-Wan Kenobi and Qui-Gon Jinn in The Phantom Menace to the space battle above Endor in Return of the Jedi, The Complete Saga allows players to kick some brick through 36 Story Mode levels, including Episode II's newly added high-speed pursuit of bounty hunter Zam Wessell. Traveller’s Tales has revamped levels from the original LEGO Star Wars to match the gameplay evolutions found in LEGO Star Wars II, and Prequel Trilogy characters can now be mixed and matched with those from the Original Trilogy – more than 160 in all. [LucasArts]",80,6.4
528,LEGO Star Wars: The Complete Saga,PlayStation 3,2007-11-06,"From the Trade Federation's ""negotiations"" with Obi-Wan Kenobi and Qui-Gon Jinn in The Phantom Menace to the space battle above Endor in Return of the Jedi, The Complete Saga allows players to kick some brick through 36 Story Mode levels, including Episode II's newly added high-speed pursuit of bounty hunter Zam Wessell. Traveller’s Tales has revamped levels from the original LEGO Star Wars to match the gameplay evolutions found in LEGO Star Wars II, and Prequel Trilogy characters can now be mixed and matched with those from the Original Trilogy – more than 160 in all. [LucasArts]",80,7.2
529,Racquet Sports,PlayStation 4,2010-03-09,"For the first time, Racquet Sports serves up 5 of your favorite racquet games all in one product for the Wii. You are immersed in stunning worldwide locations as you serve, rally, and smash your way to the finals. Every family member can get into the action with easy-to-use controls that precisely simulate each player's movements. From Party Mode to Championship Mode, Racquet Sports is fun for everyone. [Ubisoft]",51,8.3
